a,b,c
8.222707424957924616e-01,2.180639157949398221e+00,2.000000000000000000e+00
1.050612733617060757e+00,1.613685746646864594e+00,2.000000000000000000e+00
9.930084880925043045e-01,1.891800514723451787e+00,2.000000000000000000e+00
9.425000860884819032e-01,2.157220526960678786e+00,2.000000000000000000e+00
9.205750285600466931e-01,2.057384315389688023e+00,2.000000000000000000e+00
1.160536252200344620e+00,2.293926356467165917e+00,2.000000000000000000e+00
1.040293398274757530e+00,2.309212661163902336e+00,2.000000000000000000e+00
8.457949135911663197e-01,1.944836878549647929e+00,2.000000000000000000e+00
9.806119884578160528e-01,2.025671387701653003e+00,2.000000000000000000e+00
8.901917855389291923e-01,2.071944769000505282e+00,2.000000000000000000e+00
1.075058640270833754e+00,2.265238302629182243e+00,2.000000000000000000e+00
7.299997966120168602e-01,2.168746675383073974e+00,2.000000000000000000e+00
9.499162344502353195e-01,1.761492141246981058e+00,2.000000000000000000e+00
1.046051357703662310e+00,1.912361037882789105e+00,2.000000000000000000e+00
1.016370720695931595e+00,2.520990836570513594e+00,2.000000000000000000e+00
1.193388945380790656e+00,2.107245881375195307e+00,2.000000000000000000e+00
1.069658097267690566e+00,2.120227428259403801e+00,2.000000000000000000e+00
1.094639252794728623e+00,1.984139349405504849e+00,2.000000000000000000e+00
1.029559892640319552e+00,1.927442158302147046e+00,2.000000000000000000e+00
1.028385547595912719e+00,2.024221755903874431e+00,2.000000000000000000e+00
1.104419719458142435e+00,1.907416118843560326e+00,2.000000000000000000e+00
8.891544419196679705e-01,1.804126384678312656e+00,2.000000000000000000e+00
9.885322509413815295e-01,2.235939282624070934e+00,2.000000000000000000e+00
9.844438901153342858e-01,1.963482088209867360e+00,2.000000000000000000e+00
9.234701660968487325e-01,2.131468259496280382e+00,2.000000000000000000e+00
1.317550180621200218e+00,2.079609033323011946e+00,2.000000000000000000e+00
1.103439176211597594e+00,1.803105837264431965e+00,2.000000000000000000e+00
8.695036329530906327e-01,1.985060059156551704e+00,2.000000000000000000e+00
1.025455782262760795e+00,1.974502462890548760e+00,2.000000000000000000e+00
8.163652837540381624e-01,1.951165646171964640e+00,2.000000000000000000e+00
9.195837816658284369e-01,1.919457336762146360e+00,2.000000000000000000e+00
1.045015716350995660e+00,2.104825847977282116e+00,2.000000000000000000e+00
9.950490307640960097e-01,2.080879321869771648e+00,2.000000000000000000e+00
9.344292453287110778e-01,2.135997258819120059e+00,2.000000000000000000e+00
8.676310320825432187e-01,1.862869471988246151e+00,2.000000000000000000e+00
1.004034465100603679e+00,2.200447563146923802e+00,2.000000000000000000e+00
9.939852265835786849e-01,1.676486092721311660e+00,2.000000000000000000e+00
1.115018924905843090e+00,1.828906352993183493e+00,2.000000000000000000e+00
9.944479811409913106e-01,2.087437677792608692e+00,2.000000000000000000e+00
1.067802293229487498e+00,1.917767417495788385e+00,2.000000000000000000e+00
1.061837020387560671e+00,2.318751716753788550e+00,2.000000000000000000e+00
9.143225513873665111e-01,2.142882021431573580e+00,2.000000000000000000e+00
1.002229603148395709e+00,2.154839059386154165e+00,2.000000000000000000e+00
9.861669627430735829e-01,1.867455337685899330e+00,2.000000000000000000e+00
1.037439265142931610e+00,2.078093797154099143e+00,2.000000000000000000e+00
1.246745703695482987e+00,2.238829952154008041e+00,2.000000000000000000e+00
1.110565523459252635e+00,2.378478816030635379e+00,2.000000000000000000e+00
1.228509605838924212e+00,2.073434711730853142e+00,2.000000000000000000e+00
1.083299833573261761e+00,1.943624156455020291e+00,2.000000000000000000e+00
9.341260395603366851e-01,2.361762033448345122e+00,2.000000000000000000e+00
9.171961912282443619e-01,1.822501603805325665e+00,2.000000000000000000e+00
9.272987754365645818e-01,1.957994229116157392e+00,2.000000000000000000e+00
9.953610605922557086e-01,2.344561485379072163e+00,2.000000000000000000e+00
1.031033157527504018e+00,2.272157667659727487e+00,2.000000000000000000e+00
1.142647695062512625e+00,2.031164103050739467e+00,2.000000000000000000e+00
1.089179926388285091e+00,1.908664581624148759e+00,2.000000000000000000e+00
1.001355247214189337e+00,1.862377126076725897e+00,2.000000000000000000e+00
1.111787253301929734e+00,1.930956770539082434e+00,2.000000000000000000e+00
1.033263708984432983e+00,1.867303470351997063e+00,2.000000000000000000e+00
8.738829368228258065e-01,2.232161971270294032e+00,2.000000000000000000e+00
9.345369053573887586e-01,2.091761474061410109e+00,2.000000000000000000e+00
9.211770559742126219e-01,2.038638687949549499e+00,2.000000000000000000e+00
9.918864056592113787e-01,1.742151054956041500e+00,2.000000000000000000e+00
1.036474538993225059e+00,2.175897071739542277e+00,2.000000000000000000e+00
9.479580923138369863e-01,1.867054696344140563e+00,2.000000000000000000e+00
9.536282146425689721e-01,1.922269383459384695e+00,2.000000000000000000e+00
1.057777058799395320e+00,2.170710127547233803e+00,2.000000000000000000e+00
8.703119466095077250e-01,2.073095287221743632e+00,2.000000000000000000e+00
9.477627272183373197e-01,1.868794653060887878e+00,2.000000000000000000e+00
8.592064135729404750e-01,2.117577481702872966e+00,2.000000000000000000e+00
8.370872784587692905e-01,1.862277028535078705e+00,2.000000000000000000e+00
1.001275976875715124e+00,2.034636654882103546e+00,2.000000000000000000e+00
8.978376184325853604e-01,1.985557267318738495e+00,2.000000000000000000e+00
1.254296600798164407e+00,1.644920418492159531e+00,2.000000000000000000e+00
1.010391780639796178e+00,1.987170526702691564e+00,2.000000000000000000e+00
9.464703013065665083e-01,2.175225928605445169e+00,2.000000000000000000e+00
8.337510957450243732e-01,2.092564505530867258e+00,2.000000000000000000e+00
8.456843993713093477e-01,2.242883018985971422e+00,2.000000000000000000e+00
1.068383464816964334e+00,2.055342279407746275e+00,2.000000000000000000e+00
1.063792170111683699e+00,1.853387250595347924e+00,2.000000000000000000e+00
1.203358646580975133e+00,2.025350771248650261e+00,2.000000000000000000e+00
1.019430564713812659e+00,2.206856348188531491e+00,2.000000000000000000e+00
9.789564707897776552e-01,2.208275470377861538e+00,2.000000000000000000e+00
1.101503183090373872e+00,2.324652825631694064e+00,2.000000000000000000e+00
9.020123785061726629e-01,1.792931546864162673e+00,2.000000000000000000e+00
9.897702625356892270e-01,1.703458300705262163e+00,2.000000000000000000e+00
9.618235819815047494e-01,1.885128894254636478e+00,2.000000000000000000e+00
1.037328055313092801e+00,1.894850025383433278e+00,2.000000000000000000e+00
9.842092913649465036e-01,2.079232097517142552e+00,2.000000000000000000e+00
7.282739775515981728e-01,2.428096277621627053e+00,2.000000000000000000e+00
9.803663452023002600e-01,2.292837407703391950e+00,2.000000000000000000e+00
1.084897924801424329e+00,2.020092152551675291e+00,2.000000000000000000e+00
9.420152775101457987e-01,2.167149301976528886e+00,2.000000000000000000e+00
9.151914127454814363e-01,2.269505777986117412e+00,2.000000000000000000e+00
8.065894119391611161e-01,2.330498734691099472e+00,2.000000000000000000e+00
9.591132889182062415e-01,1.818180941687252083e+00,2.000000000000000000e+00
1.028107501864299556e+00,1.981267057296487888e+00,2.000000000000000000e+00
1.038722404621255535e+00,1.834992809182084628e+00,2.000000000000000000e+00
1.056430811968971817e+00,2.523340871305743249e+00,2.000000000000000000e+00
8.188537616726430102e-01,2.119622682127299207e+00,2.000000000000000000e+00
9.818021503364446900e-01,1.883295271310876595e+00,2.000000000000000000e+00
1.059555508103638966e+00,1.969420381157158007e+00,2.000000000000000000e+00
1.066603049427021110e+00,1.904227810654134601e+00,2.000000000000000000e+00
1.037950352942571097e+00,2.146480705137251199e+00,2.000000000000000000e+00
1.060894799806523903e+00,1.585705594439344779e+00,2.000000000000000000e+00
1.029569507298887299e+00,1.878758294526333916e+00,2.000000000000000000e+00
1.123616737673885924e+00,1.966316688769620846e+00,2.000000000000000000e+00
1.105872384890627558e+00,2.054743903108291470e+00,2.000000000000000000e+00
9.395487301098370825e-01,1.505552155026805838e+00,2.000000000000000000e+00
1.047425584826877643e+00,2.044567985856756920e+00,2.000000000000000000e+00
1.055019927352609077e+00,1.976959943177743151e+00,2.000000000000000000e+00
9.716919961118664073e-01,1.843620604181704703e+00,2.000000000000000000e+00
9.638060394961937005e-01,1.817070350918150279e+00,2.000000000000000000e+00
9.914226211982378745e-01,2.123369378557556697e+00,2.000000000000000000e+00
1.045508695012070222e+00,2.242162831914372934e+00,2.000000000000000000e+00
9.648033559140627435e-01,2.113003078266895152e+00,2.000000000000000000e+00
8.719856933417087230e-01,2.373466402012728071e+00,2.000000000000000000e+00
9.222269316861462229e-01,2.158902877312590896e+00,2.000000000000000000e+00
1.065344419893561767e+00,2.072902818784287060e+00,2.000000000000000000e+00
9.260322943697274489e-01,1.937136125094272243e+00,2.000000000000000000e+00
1.062543161937678393e+00,2.090105978349968474e+00,2.000000000000000000e+00
9.712719744940175870e-01,2.056240135905198052e+00,2.000000000000000000e+00
1.239323794228274433e+00,2.320193714310359923e+00,2.000000000000000000e+00
8.828735635085216416e-01,1.785602660109324002e+00,2.000000000000000000e+00
1.114550608588017688e+00,2.154125001516604243e+00,2.000000000000000000e+00
1.042327054389609486e+00,2.086515532537076556e+00,2.000000000000000000e+00
9.638244307270005251e-01,2.123400241402531474e+00,2.000000000000000000e+00
9.053062521699901666e-01,1.821499377015450172e+00,2.000000000000000000e+00
1.013137888951485488e+00,1.789041400930587278e+00,2.000000000000000000e+00
9.527669681992019246e-01,2.099560273379948327e+00,2.000000000000000000e+00
9.965496839256299255e-01,1.781499740865726711e+00,2.000000000000000000e+00
1.000317644057639788e+00,2.203935119873052351e+00,2.000000000000000000e+00
9.378562292328983530e-01,2.170869890990383411e+00,2.000000000000000000e+00
8.358286792493996309e-01,2.283042503082073793e+00,2.000000000000000000e+00
1.038462679751959605e+00,2.243972316589669447e+00,2.000000000000000000e+00
8.345513898072191017e-01,1.702048437385505597e+00,2.000000000000000000e+00
9.278171027975801177e-01,2.007097727322253000e+00,2.000000000000000000e+00
1.063745305538419172e+00,2.075734215302857066e+00,2.000000000000000000e+00
8.686476470462186628e-01,2.231881271405187661e+00,2.000000000000000000e+00
8.810527800895124884e-01,2.066451147035251346e+00,2.000000000000000000e+00
9.745504338835754288e-01,2.047574032905125296e+00,2.000000000000000000e+00
9.415832993218976599e-01,2.188873834954612629e+00,2.000000000000000000e+00
9.951369785849124572e-01,1.954880770818104851e+00,2.000000000000000000e+00
9.279342188868805463e-01,2.000991816298534065e+00,2.000000000000000000e+00
1.054036851811494202e+00,1.928960061311786545e+00,2.000000000000000000e+00
7.810203087717952908e-01,1.809436002746672267e+00,2.000000000000000000e+00
1.023375591667598394e+00,2.033893151056306525e+00,2.000000000000000000e+00
1.025858602707372835e+00,1.645333044504013742e+00,2.000000000000000000e+00
1.093183821966730029e+00,2.124345503452165218e+00,2.000000000000000000e+00
1.047173489281045144e+00,1.778511542100544185e+00,2.000000000000000000e+00
9.070613410486304540e-01,1.920406543945650801e+00,2.000000000000000000e+00
1.086740466258130366e+00,2.148896442310579413e+00,2.000000000000000000e+00
9.556664470242550724e-01,1.915917260348362294e+00,2.000000000000000000e+00
1.009078242148121918e+00,2.136658132197190252e+00,2.000000000000000000e+00
1.108319473581900194e+00,1.582153811036054680e+00,2.000000000000000000e+00
9.231225695711708923e-01,1.961898533406718714e+00,2.000000000000000000e+00
1.004647108390209986e+00,2.003435216546852526e+00,2.000000000000000000e+00
9.678234628483006752e-01,1.488599096718868253e+00,2.000000000000000000e+00
9.890365564546859112e-01,1.929366125889738770e+00,2.000000000000000000e+00
9.782298582880618598e-01,1.866091879589158786e+00,2.000000000000000000e+00
9.557961335904433531e-01,1.737433873133307438e+00,2.000000000000000000e+00
1.129213154174518285e+00,2.190859664506829230e+00,2.000000000000000000e+00
9.304124853058027833e-01,1.979445441050468046e+00,2.000000000000000000e+00
9.872560582026654874e-01,1.777481834988057452e+00,2.000000000000000000e+00
9.937615689896994731e-01,1.760353855658575384e+00,2.000000000000000000e+00
9.959013471416554575e-01,1.545013146957498584e+00,2.000000000000000000e+00
1.016775218255245639e+00,1.798162258473883224e+00,2.000000000000000000e+00
8.565903115527822020e-01,1.936716237384878969e+00,2.000000000000000000e+00
8.279811891998496431e-01,1.618621337494999146e+00,2.000000000000000000e+00
1.038393835371143048e+00,2.312034743931350445e+00,2.000000000000000000e+00
9.399690982530601868e-01,1.879762482449615968e+00,2.000000000000000000e+00
1.033254620238734267e+00,2.385749706293475381e+00,2.000000000000000000e+00
8.716801518780241675e-01,1.691505532984890259e+00,2.000000000000000000e+00
9.940951292958407626e-01,2.171321061963546573e+00,2.000000000000000000e+00
9.761411982827462586e-01,1.905399990777680630e+00,2.000000000000000000e+00
9.114817892596975835e-01,2.059739790987510144e+00,2.000000000000000000e+00
9.040582513777832840e-01,1.852518594500941473e+00,2.000000000000000000e+00
9.307708247387987965e-01,2.121232642541448055e+00,2.000000000000000000e+00
9.791152205347244397e-01,2.015712510120720946e+00,2.000000000000000000e+00
1.183325660786377576e+00,2.266559410127690466e+00,2.000000000000000000e+00
1.090666032394971952e+00,2.423936926769680866e+00,2.000000000000000000e+00
1.135518404367893641e+00,2.061562484488685509e+00,2.000000000000000000e+00
9.986967107455237969e-01,1.892239036019035092e+00,2.000000000000000000e+00
8.686769796942566124e-01,2.035809664662284746e+00,2.000000000000000000e+00
1.079261292273226314e+00,2.030905730508917095e+00,2.000000000000000000e+00
8.868374686154087971e-01,2.146111483218466454e+00,2.000000000000000000e+00
1.008888004339078437e+00,2.171318640708254311e+00,2.000000000000000000e+00
1.067537205609851103e+00,2.031102420287700383e+00,2.000000000000000000e+00
1.080791684241336092e+00,1.909975972286198642e+00,2.000000000000000000e+00
1.001032514833126941e+00,1.951081138363847112e+00,2.000000000000000000e+00
8.557850563872226868e-01,2.368025096968110255e+00,2.000000000000000000e+00
1.136701069451336865e+00,2.368061817875447783e+00,2.000000000000000000e+00
8.297986892760265132e-01,2.092515946421173112e+00,2.000000000000000000e+00
1.081826863158318996e+00,1.870627479543958582e+00,2.000000000000000000e+00
1.216523785089001608e+00,1.849738334729835731e+00,2.000000000000000000e+00
8.369098440016020657e-01,2.118602218810293536e+00,2.000000000000000000e+00
1.018983271322851936e+00,2.059352845590145087e+00,2.000000000000000000e+00
1.119996849350779922e+00,2.441708076916929926e+00,2.000000000000000000e+00
9.783188307171633014e-01,2.043608791200617780e+00,2.000000000000000000e+00
8.898354310644762677e-01,2.204821725547254641e+00,2.000000000000000000e+00
8.640190374585006161e-01,1.726097282922408382e+00,2.000000000000000000e+00
9.295789328155992237e-01,1.934832850152872430e+00,2.000000000000000000e+00
1.141055906135272524e+00,1.830920999999484211e+00,2.000000000000000000e+00
1.132103204670685814e+00,1.758562257080201530e+00,2.000000000000000000e+00
9.399846923409012067e-01,1.534193110525756687e+00,2.000000000000000000e+00
1.264178952386503019e+00,1.937193938260505233e+00,2.000000000000000000e+00
1.039977963301227604e+00,2.080643207948274842e+00,2.000000000000000000e+00
8.097187791770703580e-01,2.030679953661832293e+00,2.000000000000000000e+00
1.111280769438211413e+00,1.822710198501034773e+00,2.000000000000000000e+00
9.528153777099859223e-01,1.992557946463900054e+00,2.000000000000000000e+00
9.198101616961785743e-01,2.237399446823932880e+00,2.000000000000000000e+00
1.157087509682940940e+00,1.975574363475861128e+00,2.000000000000000000e+00
1.065773815132967650e+00,2.030818263822273373e+00,2.000000000000000000e+00
1.083042995489956972e+00,1.689592976356610210e+00,2.000000000000000000e+00
8.991756896278773059e-01,2.280396544889919941e+00,2.000000000000000000e+00
9.226269124748402994e-01,2.233795876806758063e+00,2.000000000000000000e+00
9.081870754824359349e-01,1.878852698291372914e+00,2.000000000000000000e+00
9.480944557602748457e-01,2.151369115801969212e+00,2.000000000000000000e+00
1.031593875527898385e+00,1.827394396477404426e+00,2.000000000000000000e+00
9.556041215278524570e-01,1.886452533651155283e+00,2.000000000000000000e+00
1.017676919477124242e+00,2.063987033866311993e+00,2.000000000000000000e+00
9.393518371881374174e-01,2.117534465074406125e+00,2.000000000000000000e+00
1.113775573189745405e+00,1.962648699934171459e+00,2.000000000000000000e+00
1.018012367570017007e+00,2.144476930983961527e+00,2.000000000000000000e+00
9.700760230624194680e-01,1.828931920714249371e+00,2.000000000000000000e+00
9.322324678757580863e-01,2.176324097812500025e+00,2.000000000000000000e+00
1.023964751904965942e+00,1.922988467488114361e+00,2.000000000000000000e+00
9.474210867123143975e-01,1.586646124595593843e+00,2.000000000000000000e+00
9.709327041761127708e-01,2.049429117911258924e+00,2.000000000000000000e+00
1.062016462102254755e+00,2.263126859939598834e+00,2.000000000000000000e+00
9.369206532422840183e-01,1.937026714201697919e+00,2.000000000000000000e+00
1.109354639806373166e+00,2.164156309082767127e+00,2.000000000000000000e+00
1.042430052033100019e+00,2.000264839799982930e+00,2.000000000000000000e+00
9.999055256390376734e-01,2.024572583088581457e+00,2.000000000000000000e+00
8.950617018449702478e-01,2.264021584183610880e+00,2.000000000000000000e+00
1.151030355085270740e+00,2.109097765058533192e+00,2.000000000000000000e+00
9.722144360884862335e-01,1.931022998490503850e+00,2.000000000000000000e+00
9.779285076611646810e-01,2.171806058814634621e+00,2.000000000000000000e+00
9.974382971294059042e-01,2.040605925398972342e+00,2.000000000000000000e+00
9.352584221059090375e-01,1.880430141490454732e+00,2.000000000000000000e+00
8.955686491921475145e-01,1.826308238078804935e+00,2.000000000000000000e+00
1.065809650865424452e+00,1.910437987974233476e+00,2.000000000000000000e+00
1.153403667161459145e+00,2.260590608375263599e+00,2.000000000000000000e+00
1.004982634059301994e+00,1.973318755558967963e+00,2.000000000000000000e+00
9.409501044858199492e-01,1.990263401961897660e+00,2.000000000000000000e+00
1.234572128603936392e+00,2.135057220718616033e+00,2.000000000000000000e+00
1.079300873071834532e+00,1.825709289599956708e+00,2.000000000000000000e+00
9.622754525995872443e-01,1.895736733933877760e+00,2.000000000000000000e+00
9.249907905647167805e-01,2.033708841581305382e+00,2.000000000000000000e+00
9.342426757437356510e-01,1.922104474286543185e+00,2.000000000000000000e+00
1.130008156410228670e+00,1.855487952722212341e+00,2.000000000000000000e+00
9.627903406778800521e-01,2.170868812688386384e+00,2.000000000000000000e+00
1.094704908216588501e+00,1.880496426906101526e+00,2.000000000000000000e+00
9.648035986686176457e-01,2.253222229369432394e+00,2.000000000000000000e+00
9.155756113777426819e-01,1.844169086737371455e+00,2.000000000000000000e+00
1.111964890949735940e+00,2.224782621865506904e+00,2.000000000000000000e+00
9.149849153710486460e-01,2.234380642737593181e+00,2.000000000000000000e+00
